,ITIN_ID,MKT_ID,MARKET_COUPONS,YEAR,QUARTER,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_STATE_FIPS,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_STATE_FIPS,DEST_WAC,TK_CARRIER_CHANGE,OP_CARRIER_CHANGE,BULK_FARE,PASSENGERS,MARKET_FARE,MARKET_DISTANCE,DISTANCE_GROUP,MARKET_MILES_FLOWN,NONSTOP_MILES,ITIN_GEO_TYPE,MKT_GEO_TYPE,Unnamed: 41
ITIN_ID,1.0,0.9999999999999707,-0.08074379059465879,,-0.1850348528678665,0.012347938569363616,0.012347586041400576,0.01813615565815454,-4.489095760942524e-05,0.06272178895013819,0.008226788057729025,0.008226471255280641,0.00795437430076109,-0.00939207209907258,0.05469797516545543,-0.0018931312073505093,-0.05812662731668913,0.0006330471340408011,0.02337809122919537,-0.0011770467282056305,-0.08732113339110298,-0.08793486131088632,-0.08740323795253778,-0.0778691098166095,0.030766785012755475,0.03066982517736757,
MKT_ID,0.9999999999999707,1.0,-0.08074379059464867,,-0.18503485286811466,0.012347938569365427,0.012347586041402228,0.018136155658157748,-4.4890957612468975e-05,0.06272178895013471,0.008226788057726881,0.008226471255277425,0.00795437430076053,-0.009392072099071884,0.05469797516544374,-0.0018931312073425812,-0.05812662731667626,0.0006330471340411804,0.02337809122918696,-0.0011770467281962775,-0.08732113339108429,-0.08793486131086388,-0.08740323795253281,-0.07786910981660583,0.030766785012744834,0.03066982517735296,
MARKET_COUPONS,-0.08074379059465879,-0.08074379059464867,1.0,,0.06229839331388455,0.031221445896092985,0.031220725890056433,0.1075344351963735,0.03601508187395847,-0.007780959237732247,0.030878462730885452,0.030877751159435845,0.10615748401576847,0.035622795166805846,-0.002727977849075278,0.18947764731031594,0.5566024216099617,-0.0007567315800968225,-0.1459272333368221,0.039234269433920034,0.41168097591030983,0.4060880332456611,0.4075769690590461,0.29567234922029384,-0.0925309725070187,-0.09283718001374558,
YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUARTER,-0.1850348528678665,-0.18503485286811466,0.06229839331388455,,1.0,-0.0030678066312445603,-0.003067970206206008,-0.0032073952708394846,0.0068372363992463955,0.03511816341073191,-0.0019405103396519165,-0.0019406778309069084,-0.0022326297810879,0.004568598222179634,0.03467452694640996,-0.02545828452158312,0.049801682441563216,-0.0031608791919613046,-0.010782251431233436,-0.05291619175126181,0.007956421029053074,0.0075540282466039915,0.008622334254248883,-0.004198322548650263,0.026528936978363445,0.026551006575163877,
ORIGIN_AIRPORT_ID,0.012347938569363616,0.012347938569365427,0.031221445896092985,,-0.0030678066312445603,1.0,0.9999999999249684,0.6401451711372931,-0.08245758100947355,0.20806973847928123,-0.016218143464138354,-0.016218266846237735,-0.012112607189592528,0.016396911721266484,0.0008392483246235554,-0.0016601570817464683,-0.0015148514879102597,-0.0007983995384667611,-0.003626077479836628,0.0023870083255877377,0.06893978254859495,0.06717329982841175,0.06900028754752995,0.06682926329262127,-0.02020786082761608,-0.020155404438456256,
ORIGIN_AIRPORT_SEQ_ID,0.012347586041400576,0.012347586041402228,0.031220725890056433,,-0.003067970206206008,0.9999999999249684,1.0,0.6401452218965804,-0.08245890691982014,0.20806960998170082,-0.016218269056916257,-0.016218392440154657,-0.012112638859240282,0.016397011289371464,0.0008389670670457462,-0.001660065757306716,-0.0015152822679897519,-0.0007983783535496522,-0.0036259493912586677,0.0023870558776676984,0.06894010842265608,0.06717360498355461,0.06900061148949783,0.06682970044605845,-0.02020862326378139,-0.02015616717196005,
ORIGIN_CITY_MARKET_ID,0.01813615565815454,0.018136155658157748,0.1075344351963735,,-0.0032073952708394846,0.6401451711372931,0.6401452218965804,1.0,0.047197352692731245,0.042176570028109206,-0.012879456175860862,-0.01287947974924376,-0.016947454032702067,0.008238334454896239,-0.004836379072287473,0.00019855908995072204,0.0632501255180155,-0.0009992531633196183,-0.019387960518105166,0.005720189135551706,0.07007425958611285,0.06841796068281687,0.0702192247959494,0.059654402564196664,-0.08514340441502212,-0.08533172811606736,
ORIGIN_STATE_FIPS,-4.489095760942524e-05,-4.4890957612468975e-05,0.03601508187395847,,0.0068372363992463955,-0.08245758100947355,-0.08245890691982014,0.047197352692731245,1.0,-0.06995454145127342,0.015744376778407718,0.015744472437437835,0.007880253340824128,-0.06675844473133412,0.0116117084896038,-0.004721584960642475,0.03845878568667835,0.00029154128064125923,-0.025983195670284908,-5.0014673910396704e-05,-0.06446135302770344,-0.06264496529736707,-0.06438897903733468,-0.07379763872034611,-0.01714815567188749,-0.017211445585472853,
ORIGIN_WAC,0.06272178895013819,0.06272178895013471,-0.007780959237732247,,0.03511816341073191,0.20806973847928123,0.20806960998170082,0.042176570028109206,-0.06995454145127342,1.0,0.0008237195219481097,0.0008234393331711604,-0.0050540862660319,0.011456891511213898,0.09216447737873455,-0.012806953316283818,-0.0017390286871626628,-0.0010264589797071661,-0.0033602960004631686,-0.00609615580270855,-0.01073724259358636,-0.017558193140772664,-0.010746854847163251,-0.017952535524045132,0.2381565852856408,0.23869453834941282,
